nombre,imagen,vida,ataque,defensa
Maga del bosque,Guerrero1_frente.png,78,82,58
Caballero Glacial,Guerrero2_frente.png,95,55,88
Cazadora del Desierto,Guerrero3_frente.png,84,92,42
Centauro Espacial,Guerrero4_frente.png,72,96,33
Titán de Hierro,Guerrero5_frente.png,100,45,95
Asesino Sigiloso,Guerrero6_frente.png,88,90,62
Espadachin Sombrío,Guerrero7_frente.png,80,100,28
Guardián del Trueno,Guerrero8_frente.png,92,78,72
Monje Celestial,Guerrero9_frente.png,86,70,80
Bestia Volcánica,Guerrero10_frente.png,98,100,38
Arquero Lunar,Guerrero11_frente.png,82,97,48
Paladín Dorado,Guerrero12_frente.png,96,68,90
Hechicera Carmesí,Guerrero13_frente.png,76,98,36
Centinela del Mar,Guerrero14_frente.png,90,76,74
Nesuko del Viento,Guerrero15_frente.png,85,94,52
